country,platformid,current_status,name,category,function,operator,location_blocks,primary_production,weight_sub,weight_top,production_start,valid_from,valid_to,water_depth,coast_dist,remarks,lon_dd,lat_dd
Norway,441965,Operational,AASTA HANSTEEN D,,,Equinor Energy AS,,,,,,20181217,,1278,211685.659546,MULTI WELL TEMPLATE; GAS PRODUCER,7.0124333,67.0727639
Norway,455081,Operational,AASTA HANSTEEN E,,,Equinor Energy AS,,,,,,20181101,,1311,217664.648311,SINGLE WELL TEMPLATE; GAS PRODUCER,6.8645444,67.0857056
Norway,283537,Operational,MIKKEL B,Subsea steel,Subsea,Equinor Energy AS,NO_6407/5,Natural Gas,,,,20031001,,220,91774.9137998,MULTI WELL TEMPLATE; GAS PRODUCER,7.6636417,64.6470833
Norway,364750,Operational,NORNE J,Subsea steel,Subsea,Equinor Energy AS,NO_6608/10,Crude Oil,,,,20051108,,390,149566.275857,MULTI WELL TEMPLATE; OIL PRODUCER - WATER INJECTION,8.1713556,66.0491222
Norway,713830,Operational,6507/3-H-1H ÆRFUGL,,,Aker BP ASA,,,,,,20211103,,356,165898.983903,SINGLE WELL TEMPLATE; GAS PRODUCER,7.6926722,65.8413889
Norway,456869,Operational,JOHAN SVERDRUP STATPIPE HOT TAP,,,Equinor Energy AS,,,,,,20191005,,0.0,3969.6320515,SUBSEA STRUCTURE; GAS EXPORT - MANIFOLD,5.0534111,59.3271528
Norway,458633,Under construction,DVALIN PLEM,,,,,,,,,20201001,,345,164864.076746,SUBSEA STRUCTURE; PIPELINE END MANIFOLD,7.184125,65.3330694
Norway,360444,Operational,KRISTIN S,Subsea steel,Subsea,Equinor Energy AS,NO_6406/2,Natural Gas,,,,20051103,,364,155828.559312,MULTI WELL TEMPLATE; GAS PRODUCER,6.4349139,64.9775222
Norway,285161,Operational,6407/7-A-5 H,Subsea steel,Subsea,Equinor Energy AS,NO_6407/7,Crude Oil,,,,19971001,,330,73822.6955598,SINGLE WELL TEMPLATE; OIL PRODUCER,7.2017972,64.2707639
Norway,411064,Operational,GOLIAT D,,,Vår Energi ASA,,,,,,20160312,,350,48935.7902573,MULTI WELL TEMPLATE; OIL PRODUCER,22.2618194,71.2599222
Norway,285049,Operational,6407/7-A-16 H,Subsea steel,Subsea,Equinor Energy AS,NO_6407/7,Crude Oil,,,,19971001,,330,73875.8893024,SINGLE WELL TEMPLATE; OIL PRODUCER,7.2013611,64.2713028
Norway,408694,Operational,IDUN,Fixed steel,Subsea,Aker BP ASA,NO_6507/3,Crude Oil,,,,20121231,,393,162855.049337,MULTI WELL TEMPLATE; GAS PRODUCER - OIL PRODUCER,7.7206944,65.798325
Norway,285021,Operational,6407/7-A-19 H,,,Equinor Energy AS,,,,,,19971001,,330,73865.6049489,SINGLE WELL TEMPLATE; OIL PRODUCER,7.20155,64.2712583
Norway,279561,Operational,NJORD BRAVO,Floating steel,Above water production,Equinor Energy AS,NO_6407/7,Crude Oil,,,,19971001,,330,71952.3854194,FSU; OFFLOADING - STORAGE,7.2530806,64.2720611
Norway,283621,Operational,HEIDRUN E,Subsea steel,Subsea,Equinor Energy AS,NO_6507/8,Crude Oil,,,,20000815,,363.399993896,158251.810729,MULTI WELL TEMPLATE; OIL PRODUCER,7.3693833,65.3832944
Norway,371178,Operational,ORMEN LANGE A,Subsea steel,Subsea,A/S Norske Shell,NO_6305/8,Natural Gas,,,,20070913,,850,90788.6410643,MULTI WELL TEMPLATE; GAS PRODUCER,5.3865194,63.4967583
