FID,id,the_geom,port,port_id,portcode,country,year,tonnagesize,nofvessels,gross_tonnage__gt_thousand,tonnageindex
portvesselsbytonnage.371984,260,POINT (22.96331787100013 59.81970214800009),Hanko,FIHKO,FI_0FIHKO,FI,2025,From 2 000 to 2 999 gross tonnage,7,20,5
portvesselsbytonnage.371983,260,POINT (22.96331787100013 59.81970214800009),Hanko,FIHKO,FI_0FIHKO,FI,2025,From 1 000 to 1 999 gross tonnage,,,4
portvesselsbytonnage.371982,260,POINT (22.96331787100013 59.81970214800009),Hanko,FIHKO,FI_0FIHKO,FI,2025,From 500 to 999 gross tonnage,,,3
portvesselsbytonnage.371981,260,POINT (22.96331787100013 59.81970214800009),Hanko,FIHKO,FI_0FIHKO,FI,2025,From 100 to 499 gross tonnage,1,0,2
portvesselsbytonnage.371980,260,POINT (22.96331787100013 59.81970214800009),Hanko,FIHKO,FI_0FIHKO,FI,2025,Less than 100 gross tonnage,,,1
portvesselsbytonnage.371997,260,POINT (22.96331787100013 59.81970214800009),Hanko,FIHKO,FI_0FIHKO,FI,2025,Total,360,10089,0
portvesselsbytonnage.377095,262,POINT (24.008728027000018 60.04327392600004),Inkoo,FIINK,FI_0FIINK,FI,2025,From 100 000 to 149 999 gross tonnage,1,100,19
portvesselsbytonnage.377094,262,POINT (24.008728027000018 60.04327392600004),Inkoo,FIINK,FI_0FIINK,FI,2025,From 80 000 to 99 999 gross tonnage,,,18
portvesselsbytonnage.377093,262,POINT (24.008728027000018 60.04327392600004),Inkoo,FIINK,FI_0FIINK,FI,2025,From 50 000 to 79 999 gross tonnage,,,17
portvesselsbytonnage.377092,262,POINT (24.008728027000018 60.04327392600004),Inkoo,FIINK,FI_0FIINK,FI,2025,From 40 000 to 49 999 gross tonnage,,,16
portvesselsbytonnage.377091,262,POINT (24.008728027000018 60.04327392600004),Inkoo,FIINK,FI_0FIINK,FI,2025,From 30 000 to 39 999 gross tonnage,,,15
portvesselsbytonnage.377090,262,POINT (24.008728027000018 60.04327392600004),Inkoo,FIINK,FI_0FIINK,FI,2025,From 20 000 to 29 999 gross tonnage,,,14
portvesselsbytonnage.377089,262,POINT (24.008728027000018 60.04327392600004),Inkoo,FIINK,FI_0FIINK,FI,2025,From 10 000 to 19 999 gross tonnage,14,200,13
portvesselsbytonnage.377088,262,POINT (24.008728027000018 60.04327392600004),Inkoo,FIINK,FI_0FIINK,FI,2025,From 9 000 to 9 999 gross tonnage,1,10,12
portvesselsbytonnage.377087,262,POINT (24.008728027000018 60.04327392600004),Inkoo,FIINK,FI_0FIINK,FI,2025,From 8 000 to 8 999 gross tonnage,,,11
portvesselsbytonnage.377086,262,POINT (24.008728027000018 60.04327392600004),Inkoo,FIINK,FI_0FIINK,FI,2025,From 7 000 to 7 999 gross tonnage,1,8,10
portvesselsbytonnage.377085,262,POINT (24.008728027000018 60.04327392600004),Inkoo,FIINK,FI_0FIINK,FI,2025,From 6 000 to 6 999 gross tonnage,4,27,9
portvesselsbytonnage.377084,262,POINT (24.008728027000018 60.04327392600004),Inkoo,FIINK,FI_0FIINK,FI,2025,From 5 000 to 5 999 gross tonnage,2,10,8
portvesselsbytonnage.377083,262,POINT (24.008728027000018 60.04327392600004),Inkoo,FIINK,FI_0FIINK,FI,2025,From 4 000 to 4 999 gross tonnage,8,36,7
portvesselsbytonnage.377082,262,POINT (24.008728027000018 60.04327392600004),Inkoo,FIINK,FI_0FIINK,FI,2025,From 3 000 to 3 999 gross tonnage,20,72,6
portvesselsbytonnage.377081,262,POINT (24.008728027000018 60.04327392600004),Inkoo,FIINK,FI_0FIINK,FI,2025,From 2 000 to 2 999 gross tonnage,25,65,5
portvesselsbytonnage.377080,262,POINT (24.008728027000018 60.04327392600004),Inkoo,FIINK,FI_0FIINK,FI,2025,From 1 000 to 1 999 gross tonnage,1,2,4
